who,breed,xcor,ycor,score,data-refined,validations
13,adalts,3.9793217580681133,-2.5452340247697887,0,43,0
6,adaptas,-6,-7,4,0,0
3,adaptas,-16,9,4,0,0
2,adaptas,15,15,4,0,0
7,adaptas,-6,-1,4,0,0
10,adaptas,0,8,4,0,0
17,degovs,3.1437378261894744,6.701623609660176,0,0,53757
8,adaptas,15,8,4,0,0
15,adalts,3.7524953664005034,-9.212618669312342,0,37,0
12,adalts,12.662178097795715,0.1701874999152621,0,48,0
0,ia-cores,0,0,0,0,0
5,adaptas,-3,0,4,0,0
14,adalts,-9.06908657882365,-7.260480946920215,0,39,0
9,adaptas,-5,-4,4,0,0
1,adaptas,-7,0,4,0,0
16,degovs,-12.001136959861135,6.858362089821295,0,0,53807
4,adaptas,-1,-10,4,0,0
11,adalts,3.775105488100051,0.4423088822094504,0,42,0
