who,breed,xcor,ycor,score,data-refined,validations
0,ia-cores,0,0,0,0,0
6,adaptas,-6,-7,4,0,0
8,adaptas,15,8,4,0,0
5,adaptas,-3,0,4,0,0
4,adaptas,-1,-10,4,0,0
7,adaptas,-6,-1,4,0,0
2,adaptas,15,15,4,0,0
3,adaptas,-16,9,4,0,0
14,adalts,12.847066938055919,-3.378292541083547,0,39,0
9,adaptas,-5,-4,4,0,0
17,degovs,-10.389946068458743,-14.656620838072886,0,0,57577
12,adalts,7.947257570525667,5.205440804290643,0,48,0
11,adalts,-6.506859002269884,0.0462142637121028,0,42,0
1,adaptas,-7,0,4,0,0
16,degovs,10.144081418107323,12.230367742003075,0,0,57563
10,adaptas,0,8,4,0,0
13,adalts,-11.31729160462618,2.469617944128177,0,43,0
15,adalts,-4.185156852528035,9.198136223464713,0,37,0
