who,breed,xcor,ycor,score,data-refined,validations
5,adaptas,-3,0,4,0,0
13,adalts,-1.9890611915598844,8.279790228442048,0,43,0
9,adaptas,-5,-4,4,0,0
1,adaptas,-7,0,4,0,0
16,degovs,13.67290515247039,-4.7819160915871315,0,0,57856
11,adalts,16.370456123747243,-5.2228504075779405,0,42,0
4,adaptas,-1,-10,4,0,0
10,adaptas,0,8,4,0,0
14,adalts,-14.682095818641722,14.763826367222057,0,39,0
2,adaptas,15,15,4,0,0
0,ia-cores,0,0,0,0,0
8,adaptas,15,8,4,0,0
6,adaptas,-6,-7,4,0,0
15,adalts,10.630873424736771,-10.37088696855418,0,37,0
7,adaptas,-6,-1,4,0,0
17,degovs,-0.5321047406400807,-5.059532851859668,0,0,57880
3,adaptas,-16,9,4,0,0
12,adalts,-5.19964878142762,-9.087203541398061,0,48,0
