who,breed,xcor,ycor,score,data-refined,validations
16,degovs,2.742748549330294,2.269191052531913,0,0,58177
17,degovs,-10.045505725403107,9.296778597343762,0,0,58223
1,adaptas,-7,0,4,0,0
12,adalts,-13.902820741150052,-2.5720204644133977,0,48,0
9,adaptas,-5,-4,4,0,0
0,ia-cores,0,0,0,0,0
3,adaptas,-16,9,4,0,0
8,adaptas,15,8,4,0,0
11,adalts,-9.459793834617177,2.3194790500539337,0,42,0
2,adaptas,15,15,4,0,0
10,adaptas,0,8,4,0,0
15,adalts,-8.730986143130938,-4.85937769042353,0,37,0
4,adaptas,-1,-10,4,0,0
13,adalts,6.037195385162637,2.5948859871541874,0,43,0
5,adaptas,-3,0,4,0,0
7,adaptas,-6,-1,4,0,0
6,adaptas,-6,-7,4,0,0
14,adalts,-7.066716414565714,10.692989661639926,0,39,0
