who,breed,xcor,ycor,score,data-refined,validations
16,degovs,8.752745065157947,-5.521983776434333,0,0,53299
4,adaptas,-1,-10,4,0,0
5,adaptas,-3,0,4,0,0
14,adalts,5.074700689457719,-15.762383628133996,0,39,0
12,adalts,-14.79902221504434,1.8440775407788328,0,48,0
3,adaptas,-16,9,4,0,0
8,adaptas,15,8,4,0,0
2,adaptas,15,15,4,0,0
17,degovs,-12.628808298320381,11.14628283171902,0,0,53321
15,adalts,-0.14754724401090813,14.00418667703858,0,37,0
10,adaptas,0,8,4,0,0
7,adaptas,-6,-1,4,0,0
0,ia-cores,0,0,0,0,0
11,adalts,-11.868824063794182,-6.864532063671074,0,42,0
6,adaptas,-6,-7,4,0,0
1,adaptas,-7,0,4,0,0
13,adalts,-6.822335966621297,15.199731276444105,0,43,0
9,adaptas,-5,-4,4,0,0
