who,breed,xcor,ycor,score,data-refined,validations
9,adaptas,-5,-4,4,0,0
3,adaptas,-16,9,4,0,0
14,adalts,-4.240884256567288,6.836680521009506,0,39,0
17,degovs,4.598645577169751,15.590942053777862,0,0,52863
0,ia-cores,0,0,0,0,0
1,adaptas,-7,0,4,0,0
11,adalts,-9.754153547100406,-12.605911430364248,0,42,0
16,degovs,-3.49337290982299,15.097670357310008,0,0,52851
4,adaptas,-1,-10,4,0,0
8,adaptas,15,8,4,0,0
10,adaptas,0,8,4,0,0
6,adaptas,-6,-7,4,0,0
2,adaptas,15,15,4,0,0
13,adalts,-11.614119911220223,5.840633305548832,0,43,0
7,adaptas,-6,-1,4,0,0
5,adaptas,-3,0,4,0,0
12,adalts,-0.5083729270889445,-2.937337179056622,0,48,0
15,adalts,10.058531187635133,-13.437424535888052,0,37,0
