who,breed,xcor,ycor,score,data-refined,validations
12,adalts,-14.596992105081629,5.9154198117305015,0,48,0
14,adalts,-14.44793716333943,11.481968526679951,0,39,0
0,ia-cores,0,0,0,0,0
3,adaptas,-16,9,4,0,0
8,adaptas,15,8,4,0,0
10,adaptas,0,8,4,0,0
2,adaptas,15,15,4,0,0
11,adalts,4.184411146111571,-8.327211593842488,0,42,0
7,adaptas,-6,-1,4,0,0
15,adalts,-0.20045780986426717,13.909766242336005,0,37,0
9,adaptas,-5,-4,4,0,0
1,adaptas,-7,0,4,0,0
4,adaptas,-1,-10,4,0,0
6,adaptas,-6,-7,4,0,0
5,adaptas,-3,0,4,0,0
13,adalts,7.901089412632674,8.584896978176012,0,43,0
16,degovs,-11.582076578701724,16.165004954535632,0,0,56011
17,degovs,12.063331917611318,-6.160507695119376,0,0,55947
