who,breed,xcor,ycor,score,data-refined,validations
7,adaptas,-6,-1,4,0,0
13,adalts,-14.08486291297765,-3.4212546452488,0,43,0
17,degovs,-13.567055534717204,-11.312936459273747,0,0,55217
16,degovs,5.642981711954268,-12.203057078129788,0,0,55248
0,ia-cores,0,0,0,0,0
10,adaptas,0,8,4,0,0
11,adalts,-0.8783414589942891,-15.60392400116947,0,42,0
1,adaptas,-7,0,4,0,0
15,adalts,-7.645366071197059,11.77661971342827,0,37,0
2,adaptas,15,15,4,0,0
4,adaptas,-1,-10,4,0,0
3,adaptas,-16,9,4,0,0
6,adaptas,-6,-7,4,0,0
9,adaptas,-5,-4,4,0,0
8,adaptas,15,8,4,0,0
5,adaptas,-3,0,4,0,0
14,adalts,13.552384035967343,7.875210581419865,0,39,0
12,adalts,-13.765968334711266,-13.373997499473957,0,48,0
