who,breed,xcor,ycor,score,data-refined,validations
11,adalts,-8.421082503104131,8.909845145344287,0,42,0
5,adaptas,-3,0,4,0,0
14,adalts,-12.998743484174234,-13.960372038771917,0,39,0
17,degovs,-5.164121957878814,-10.605166917178224,0,0,56449
1,adaptas,-7,0,4,0,0
9,adaptas,-5,-4,4,0,0
13,adalts,-14.564080598360043,-14.526772691789375,0,43,0
16,degovs,0.6640413962792047,-4.454649179208713,0,0,56446
0,ia-cores,0,0,0,0,0
2,adaptas,15,15,4,0,0
6,adaptas,-6,-7,4,0,0
3,adaptas,-16,9,4,0,0
4,adaptas,-1,-10,4,0,0
10,adaptas,0,8,4,0,0
7,adaptas,-6,-1,4,0,0
8,adaptas,15,8,4,0,0
15,adalts,-7.211548976121733,8.489981672621257,0,37,0
12,adalts,14.563056607020886,5.7112875545265664,0,48,0
