who,breed,xcor,ycor,score,data-refined,validations
16,degovs,1.9046277870114792,-16.344094676896738,0,0,53867
15,adalts,-8.564108926987346,12.94310700370221,0,37,0
1,adaptas,-7,0,4,0,0
12,adalts,2.5700416327318676,4.476818088114442,0,48,0
6,adaptas,-6,-7,4,0,0
0,ia-cores,0,0,0,0,0
9,adaptas,-5,-4,4,0,0
10,adaptas,0,8,4,0,0
5,adaptas,-3,0,4,0,0
17,degovs,5.115306091753208,2.0210412069028107,0,0,53821
3,adaptas,-16,9,4,0,0
13,adalts,5.173698447942094,4.5117173681576155,0,43,0
4,adaptas,-1,-10,4,0,0
7,adaptas,-6,-1,4,0,0
11,adalts,-14.793977319382156,1.510379846883426,0,42,0
2,adaptas,15,15,4,0,0
8,adaptas,15,8,4,0,0
14,adalts,10.312552612887057,2.9804933118997754,0,39,0
