who,breed,xcor,ycor,score,data-refined,validations
11,adalts,-11.773335826088838,-3.934091303668854,0,42,0
10,adaptas,0,8,4,0,0
2,adaptas,15,15,4,0,0
12,adalts,12.280620255217725,-0.08702852500867175,0,48,0
7,adaptas,-6,-1,4,0,0
16,degovs,-13.585408750644264,7.762063230857707,0,0,57600
1,adaptas,-7,0,4,0,0
14,adalts,-10.874970415754165,-14.669167586581477,0,39,0
4,adaptas,-1,-10,4,0,0
3,adaptas,-16,9,4,0,0
0,ia-cores,0,0,0,0,0
15,adalts,2.222621658572746,-10.13248527073953,0,37,0
13,adalts,8.6641673172335,-0.9429450909856091,0,43,0
8,adaptas,15,8,4,0,0
5,adaptas,-3,0,4,0,0
6,adaptas,-6,-7,4,0,0
9,adaptas,-5,-4,4,0,0
17,degovs,12.924432775250413,4.222990893422218,0,0,57627
