who,breed,xcor,ycor,score,data-refined,validations
6,adaptas,-6,-7,4,0,0
16,degovs,-16.351486703797093,12.066734285813865,0,0,58234
13,adalts,15.394700478195807,14.282306666082352,0,43,0
17,degovs,-8.073937459839374,4.6161961945864,0,0,58257
3,adaptas,-16,9,4,0,0
11,adalts,-16.45407730444761,-7.444665029756446,0,42,0
7,adaptas,-6,-1,4,0,0
10,adaptas,0,8,4,0,0
14,adalts,15.139488445875775,-11.29136705188225,0,39,0
2,adaptas,15,15,4,0,0
12,adalts,-11.585310001939229,5.296991733109811,0,48,0
4,adaptas,-1,-10,4,0,0
15,adalts,8.515549395738498,10.754232151689848,0,37,0
1,adaptas,-7,0,4,0,0
9,adaptas,-5,-4,4,0,0
0,ia-cores,0,0,0,0,0
5,adaptas,-3,0,4,0,0
8,adaptas,15,8,4,0,0
