who,breed,xcor,ycor,score,data-refined,validations
9,adaptas,-5,-4,4,0,0
11,adalts,-4.28235225659943,2.380078637618865,0,42,0
7,adaptas,-6,-1,4,0,0
14,adalts,-13.201567101315938,10.643034270665913,0,39,0
16,degovs,7.093098293266252,-2.9391811434606456,0,0,53738
0,ia-cores,0,0,0,0,0
8,adaptas,15,8,4,0,0
5,adaptas,-3,0,4,0,0
2,adaptas,15,15,4,0,0
10,adaptas,0,8,4,0,0
13,adalts,-10.32464174227648,14.006643092415429,0,43,0
4,adaptas,-1,-10,4,0,0
3,adaptas,-16,9,4,0,0
6,adaptas,-6,-7,4,0,0
17,degovs,1.1721695606257438,11.382206012417528,0,0,53687
12,adalts,-13.960087026867397,4.275089167367589,0,48,0
15,adalts,-4.404366400013022,-11.349729364673827,0,37,0
1,adaptas,-7,0,4,0,0
