who,breed,xcor,ycor,score,data-refined,validations
10,adaptas,0,8,4,0,0
12,adalts,-8.87384106452862,4.69962028056161,0,48,0
1,adaptas,-7,0,4,0,0
15,adalts,5.614581048631988,-10.363452444973259,0,37,0
11,adalts,1.9609238238254423,-5.984202215780762,0,42,0
6,adaptas,-6,-7,4,0,0
9,adaptas,-5,-4,4,0,0
14,adalts,2.437222383263825,1.72210682710447,0,39,0
8,adaptas,15,8,4,0,0
5,adaptas,-3,0,4,0,0
0,ia-cores,0,0,0,0,0
7,adaptas,-6,-1,4,0,0
17,degovs,-2.598746798973895,16.22007053564055,0,0,53953
2,adaptas,15,15,4,0,0
4,adaptas,-1,-10,4,0,0
13,adalts,-13.758621324511822,13.869677528409444,0,43,0
3,adaptas,-16,9,4,0,0
16,degovs,-7.9190976348675015,-11.014855954760137,0,0,53955
