who,breed,xcor,ycor,score,data-refined,validations
14,adalts,-2.58800151471821,9.682112582164216,0,39,0
13,adalts,-2.8812105062014974,2.1258578177294316,0,43,0
3,adaptas,-16,9,4,0,0
5,adaptas,-3,0,4,0,0
15,adalts,-1.4145832275633703,-7.033110988733895,0,37,0
6,adaptas,-6,-7,4,0,0
7,adaptas,-6,-1,4,0,0
12,adalts,-4.993931677339044,-9.038233286507307,0,48,0
16,degovs,1.5609423869606194,5.670160966451648,0,0,55078
8,adaptas,15,8,4,0,0
0,ia-cores,0,0,0,0,0
2,adaptas,15,15,4,0,0
17,degovs,-7.82457090955382,12.168616614745886,0,0,55088
10,adaptas,0,8,4,0,0
11,adalts,11.590670155040925,-6.749932239586673,0,42,0
9,adaptas,-5,-4,4,0,0
4,adaptas,-1,-10,4,0,0
1,adaptas,-7,0,4,0,0
