who,breed,xcor,ycor,score,data-refined,validations
17,degovs,-4.398094893009812,16.377352656106222,0,0,54215
10,adaptas,0,8,4,0,0
2,adaptas,15,15,4,0,0
14,adalts,0.652076882719735,-0.4210776858057004,0,39,0
5,adaptas,-3,0,4,0,0
11,adalts,-4.420355949003163,0.2564238688021401,0,42,0
0,ia-cores,0,0,0,0,0
6,adaptas,-6,-7,4,0,0
8,adaptas,15,8,4,0,0
7,adaptas,-6,-1,4,0,0
15,adalts,-15.062593558262598,-10.17132041997647,0,37,0
16,degovs,-9.025528816128627,-9.292987532777673,0,0,54225
13,adalts,-2.5690016011051666,14.899620610398886,0,43,0
12,adalts,10.663406940431832,-11.272557900094561,0,48,0
9,adaptas,-5,-4,4,0,0
3,adaptas,-16,9,4,0,0
1,adaptas,-7,0,4,0,0
4,adaptas,-1,-10,4,0,0
