who,breed,xcor,ycor,score,data-refined,validations
15,adalts,-2.525797802455987,-12.555932740566664,0,37,0
3,adaptas,-16,9,4,0,0
13,adalts,1.6038401386191803,-0.8632224672168547,0,43,0
2,adaptas,15,15,4,0,0
1,adaptas,-7,0,4,0,0
7,adaptas,-6,-1,4,0,0
10,adaptas,0,8,4,0,0
17,degovs,-0.4549583618823494,7.01618785059152,0,0,54321
5,adaptas,-3,0,4,0,0
14,adalts,7.814590269095778,-8.00297152909614,0,39,0
4,adaptas,-1,-10,4,0,0
8,adaptas,15,8,4,0,0
16,degovs,-14.213999322383387,10.302098933786219,0,0,54367
11,adalts,8.807510442123887,13.523668658443965,0,42,0
9,adaptas,-5,-4,4,0,0
0,ia-cores,0,0,0,0,0
6,adaptas,-6,-7,4,0,0
12,adalts,-6.3166909613967555,-3.9161268638177837,0,48,0
