who,breed,xcor,ycor,score,data-refined,validations
14,adalts,-10.836191852089314,-2.199596664531154,0,39,0
0,ia-cores,0,0,0,0,0
10,adaptas,0,8,4,0,0
11,adalts,8.95065007519159,8.11436999937939,0,42,0
1,adaptas,-7,0,4,0,0
3,adaptas,-16,9,4,0,0
6,adaptas,-6,-7,4,0,0
5,adaptas,-3,0,4,0,0
7,adaptas,-6,-1,4,0,0
8,adaptas,15,8,4,0,0
12,adalts,15.744529414300228,11.9640783331914,0,48,0
9,adaptas,-5,-4,4,0,0
15,adalts,7.605708976079691,3.150882465635859,0,37,0
13,adalts,5.585426432308051,5.971050509517867,0,43,0
16,degovs,-7.57541223481663,-0.029111598108538583,0,0,52720
2,adaptas,15,15,4,0,0
17,degovs,10.341130202333137,6.072495127797486,0,0,52700
4,adaptas,-1,-10,4,0,0
