who,breed,xcor,ycor,score,data-refined,validations
5,adaptas,-3,0,4,0,0
16,degovs,8.065374265056223,5.506527510262438,0,0,55818
6,adaptas,-6,-7,4,0,0
8,adaptas,15,8,4,0,0
13,adalts,-7.331855566930023,-3.496989527594082,0,43,0
0,ia-cores,0,0,0,0,0
1,adaptas,-7,0,4,0,0
12,adalts,12.704266291995248,10.672451900211504,0,48,0
17,degovs,-5.508562300934452,-1.5585663525948472,0,0,55770
14,adalts,2.21210528884403,1.2602116855563257,0,39,0
3,adaptas,-16,9,4,0,0
15,adalts,11.370500232536324,-10.520779502140545,0,37,0
9,adaptas,-5,-4,4,0,0
2,adaptas,15,15,4,0,0
10,adaptas,0,8,4,0,0
11,adalts,4.240503631339675,-13.17116094129425,0,42,0
7,adaptas,-6,-1,4,0,0
4,adaptas,-1,-10,4,0,0
