who,breed,xcor,ycor,score,data-refined,validations
9,adaptas,-5,-4,4,0,0
8,adaptas,15,8,4,0,0
11,adalts,16.478170870385185,-14.975018211924414,0,42,0
6,adaptas,-6,-7,4,0,0
13,adalts,-10.774069438449553,5.6096353448161524,0,43,0
3,adaptas,-16,9,4,0,0
2,adaptas,15,15,4,0,0
0,ia-cores,0,0,0,0,0
14,adalts,-7.601313754133109,4.7423260078029426,0,39,0
12,adalts,-6.249777218525382,-1.497350779766405,0,48,0
7,adaptas,-6,-1,4,0,0
1,adaptas,-7,0,4,0,0
10,adaptas,0,8,4,0,0
17,degovs,-2.9431871420295335,-7.733328899776099,0,0,53288
16,degovs,-0.5177647660904663,-1.0536792652889782,0,0,53273
5,adaptas,-3,0,4,0,0
4,adaptas,-1,-10,4,0,0
15,adalts,-12.703580696472205,-4.5268637136763274,0,37,0
