who,breed,xcor,ycor,score,data-refined,validations
17,degovs,-5.853002643990084,7.488034211988537,0,0,55138
4,adaptas,-1,-10,4,0,0
14,adalts,4.204884134370628,-6.245995948722699,0,39,0
7,adaptas,-6,-1,4,0,0
2,adaptas,15,15,4,0,0
9,adaptas,-5,-4,4,0,0
1,adaptas,-7,0,4,0,0
3,adaptas,-16,9,4,0,0
5,adaptas,-3,0,4,0,0
11,adalts,11.530571733799162,-3.3661535902647852,0,42,0
10,adaptas,0,8,4,0,0
12,adalts,0.019196273179146184,11.97832342213374,0,48,0
16,degovs,15.466707133833227,15.46770419973361,0,0,55146
0,ia-cores,0,0,0,0,0
15,adalts,11.495919477230851,-15.145939239530454,0,37,0
6,adaptas,-6,-7,4,0,0
13,adalts,-14.331156697027938,9.243415126204226,0,43,0
8,adaptas,15,8,4,0,0
