who,breed,xcor,ycor,score,data-refined,validations
9,adaptas,-5,-4,4,0,0
6,adaptas,-6,-7,4,0,0
5,adaptas,-3,0,4,0,0
7,adaptas,-6,-1,4,0,0
0,ia-cores,0,0,0,0,0
3,adaptas,-16,9,4,0,0
10,adaptas,0,8,4,0,0
4,adaptas,-1,-10,4,0,0
16,degovs,4.670705740164311,12.351234268147103,0,0,53150
17,degovs,-6.886323673157001,1.6278359057386325,0,0,53158
14,adalts,6.420344093149091,4.269179422912284,0,39,0
12,adalts,-4.863133300874035,2.735571008569176,0,48,0
11,adalts,0.2143429757759172,1.0623546817397373,0,42,0
15,adalts,3.185115269952769,2.6925290284105583,0,37,0
13,adalts,9.034542460037137,11.346363631003975,0,43,0
1,adaptas,-7,0,4,0,0
2,adaptas,15,15,4,0,0
8,adaptas,15,8,4,0,0
