who,breed,xcor,ycor,score,data-refined,validations
3,adaptas,-16,9,4,0,0
2,adaptas,15,15,4,0,0
16,degovs,9.515490846368197,14.770403444931588,0,0,54313
4,adaptas,-1,-10,4,0,0
14,adalts,-0.4887917957591971,-12.03262812926279,0,39,0
9,adaptas,-5,-4,4,0,0
5,adaptas,-3,0,4,0,0
7,adaptas,-6,-1,4,0,0
11,adalts,-14.370952371820158,9.991158541648876,0,42,0
10,adaptas,0,8,4,0,0
13,adalts,3.1298778340695863,-8.137729232581856,0,43,0
17,degovs,9.230662794408492,-11.863423880903596,0,0,54289
6,adaptas,-6,-7,4,0,0
15,adalts,-5.511148472263516,1.2950816949999382,0,37,0
12,adalts,-10.584677666325288,-10.230708736858872,0,48,0
0,ia-cores,0,0,0,0,0
8,adaptas,15,8,4,0,0
1,adaptas,-7,0,4,0,0
