who,breed,xcor,ycor,score,data-refined,validations
5,adaptas,-3,0,4,0,0
4,adaptas,-1,-10,4,0,0
14,adalts,-1.0002193710940959,16.143871577021056,0,39,0
7,adaptas,-6,-1,4,0,0
0,ia-cores,0,0,0,0,0
12,adalts,-15.837240144893109,14.774053140819314,0,48,0
10,adaptas,0,8,4,0,0
1,adaptas,-7,0,4,0,0
2,adaptas,15,15,4,0,0
16,degovs,16.154077933934957,4.439192913036817,0,0,52682
9,adaptas,-5,-4,4,0,0
17,degovs,-12.973248641376019,-12.807116603697626,0,0,52663
3,adaptas,-16,9,4,0,0
8,adaptas,15,8,4,0,0
13,adalts,-5.5187500855416625,10.28778423175379,0,43,0
6,adaptas,-6,-7,4,0,0
11,adalts,3.74398249857526,8.537812143479552,0,42,0
15,adalts,16.18877033173606,7.24624188223142,0,37,0
