who,breed,xcor,ycor,score,data-refined,validations
5,adaptas,-3,0,4,0,0
2,adaptas,15,15,4,0,0
12,adalts,-7.268228192722212,2.3954313058848475,0,48,0
9,adaptas,-5,-4,4,0,0
16,degovs,10.965607427680194,-8.965720620399253,0,0,52772
7,adaptas,-6,-1,4,0,0
10,adaptas,0,8,4,0,0
11,adalts,5.228087137385566,4.742355075035019,0,42,0
3,adaptas,-16,9,4,0,0
8,adaptas,15,8,4,0,0
4,adaptas,-1,-10,4,0,0
1,adaptas,-7,0,4,0,0
15,adalts,11.484155311046862,-13.965824976051628,0,37,0
6,adaptas,-6,-7,4,0,0
0,ia-cores,0,0,0,0,0
14,adalts,1.4690634517011627,-3.1016107176541747,0,39,0
13,adalts,1.9122806392545595,4.908670142344044,0,43,0
17,degovs,-9.030112110248552,10.831718590787679,0,0,52803
