who,breed,xcor,ycor,score,data-refined,validations
4,adaptas,-1,-10,4,0,0
8,adaptas,15,8,4,0,0
16,degovs,-15.664115903695361,1.0382229991170826,0,0,55854
11,adalts,-3.1822858017167377,-0.19062114733058289,0,42,0
2,adaptas,15,15,4,0,0
1,adaptas,-7,0,4,0,0
9,adaptas,-5,-4,4,0,0
10,adaptas,0,8,4,0,0
15,adalts,8.118292962296007,-2.6290389085557635,0,37,0
12,adalts,1.7807365301680367,-6.494771399794377,0,48,0
14,adalts,-12.653577073424723,-12.488344316687725,0,39,0
5,adaptas,-3,0,4,0,0
6,adaptas,-6,-7,4,0,0
17,degovs,-15.194183457225304,-15.678954621099749,0,0,55802
3,adaptas,-16,9,4,0,0
0,ia-cores,0,0,0,0,0
13,adalts,14.807822505737661,4.609448701406706,0,43,0
7,adaptas,-6,-1,4,0,0
