who,breed,xcor,ycor,score,data-refined,validations
14,adalts,-6.506823289733785,16.270958164667746,0,39,0
8,adaptas,15,8,4,0,0
16,degovs,1.7704725775403296,-6.176517601191171,0,0,56197
1,adaptas,-7,0,4,0,0
11,adalts,-9.921981214904847,-6.369038342725697,0,42,0
15,adalts,-5.236262825904576,1.3108438710684143,0,37,0
0,ia-cores,0,0,0,0,0
3,adaptas,-16,9,4,0,0
9,adaptas,-5,-4,4,0,0
13,adalts,-1.6879878483250286,-12.226427477811999,0,43,0
7,adaptas,-6,-1,4,0,0
5,adaptas,-3,0,4,0,0
12,adalts,-7.46874664211764,-13.045548939213054,0,48,0
4,adaptas,-1,-10,4,0,0
17,degovs,-3.3647738638429057,-10.762449037643893,0,0,56160
10,adaptas,0,8,4,0,0
2,adaptas,15,15,4,0,0
6,adaptas,-6,-7,4,0,0
