who,breed,xcor,ycor,score,data-refined,validations
5,adaptas,-3,0,4,0,0
1,adaptas,-7,0,4,0,0
16,degovs,6.196197302584829,-13.06399128912102,0,0,55095
9,adaptas,-5,-4,4,0,0
14,adalts,-3.63919392508791,7.231228039634526,0,39,0
2,adaptas,15,15,4,0,0
11,adalts,-12.0073791000186,1.0701519605444019,0,42,0
7,adaptas,-6,-1,4,0,0
17,degovs,3.8326185123007503,-11.391577519506583,0,0,55105
8,adaptas,15,8,4,0,0
13,adalts,-6.920721731095971,2.079096025885093,0,43,0
3,adaptas,-16,9,4,0,0
10,adaptas,0,8,4,0,0
12,adalts,9.22422437999991,3.9121886977074203,0,48,0
15,adalts,0.19333456221148015,-4.2961099109535645,0,37,0
4,adaptas,-1,-10,4,0,0
0,ia-cores,0,0,0,0,0
6,adaptas,-6,-7,4,0,0
