who,breed,xcor,ycor,score,data-refined,validations
0,ia-cores,0,0,0,0,0
4,adaptas,-1,-10,4,0,0
10,adaptas,0,8,4,0,0
9,adaptas,-5,-4,4,0,0
1,adaptas,-7,0,4,0,0
11,adalts,1.612188868674238,12.801897177893766,0,42,0
15,adalts,4.806947382802323,10.338064751971697,0,37,0
2,adaptas,15,15,4,0,0
8,adaptas,15,8,4,0,0
17,degovs,3.5832519620151966,14.056002060333945,0,0,58279
5,adaptas,-3,0,4,0,0
13,adalts,7.405180558638929,6.488791422973318,0,43,0
3,adaptas,-16,9,4,0,0
14,adalts,7.292079419805319,-1.8173345369163634,0,39,0
6,adaptas,-6,-7,4,0,0
16,degovs,-11.71623178817289,-6.667417969758799,0,0,58248
12,adalts,2.3825245430592163,11.580619838010184,0,48,0
7,adaptas,-6,-1,4,0,0
