who,breed,xcor,ycor,score,data-refined,validations
3,adaptas,-16,9,4,0,0
13,adalts,7.139741014921029,-7.359254783659374,0,43,0
7,adaptas,-6,-1,4,0,0
17,degovs,7.181948150087029,13.741437819402604,0,0,57790
0,ia-cores,0,0,0,0,0
4,adaptas,-1,-10,4,0,0
12,adalts,-6.766899307744364,-8.52479696666399,0,48,0
8,adaptas,15,8,4,0,0
6,adaptas,-6,-7,4,0,0
1,adaptas,-7,0,4,0,0
5,adaptas,-3,0,4,0,0
14,adalts,13.62646806796748,8.290396861852313,0,39,0
2,adaptas,15,15,4,0,0
16,degovs,-9.50336942565063,-10.111154813723722,0,0,57757
15,adalts,9.38681789832457,3.1523178856422343,0,37,0
11,adalts,12.087568711508812,-1.2414302281909029,0,42,0
9,adaptas,-5,-4,4,0,0
10,adaptas,0,8,4,0,0
