who,breed,xcor,ycor,score,data-refined,validations
6,adaptas,-6,-7,4,0,0
1,adaptas,-7,0,4,0,0
5,adaptas,-3,0,4,0,0
9,adaptas,-5,-4,4,0,0
17,degovs,7.009727978559209,-14.735261898305719,0,0,57428
2,adaptas,15,15,4,0,0
14,adalts,0.6688409927274294,-15.709912203252905,0,39,0
3,adaptas,-16,9,4,0,0
10,adaptas,0,8,4,0,0
16,degovs,10.697297008737886,11.369433531011843,0,0,57451
8,adaptas,15,8,4,0,0
12,adalts,-4.291961108203103,-7.123505820562162,0,48,0
7,adaptas,-6,-1,4,0,0
4,adaptas,-1,-10,4,0,0
11,adalts,-1.272836745987008,9.800577372600596,0,42,0
0,ia-cores,0,0,0,0,0
13,adalts,1.9058516982655282,13.329022018384006,0,43,0
15,adalts,6.196896509941196,-2.1612761250395134,0,37,0
