who,breed,xcor,ycor,score,data-refined,validations
9,adaptas,-5,-4,4,0,0
6,adaptas,-6,-7,4,0,0
15,adalts,-6.057647830977695,-3.188285790438836,0,37,0
0,ia-cores,0,0,0,0,0
2,adaptas,15,15,4,0,0
3,adaptas,-16,9,4,0,0
7,adaptas,-6,-1,4,0,0
8,adaptas,15,8,4,0,0
14,adalts,-8.688934566301302,12.625347084930388,0,39,0
5,adaptas,-3,0,4,0,0
16,degovs,-3.627528119294156,-7.73475256698442,0,0,55213
10,adaptas,0,8,4,0,0
11,adalts,-6.71505898551011,-14.230620506745309,0,42,0
17,degovs,-3.8814343784263525,2.8074518092311718,0,0,55186
12,adalts,7.767916406436343,15.344884038030585,0,48,0
13,adalts,12.088292867342474,-11.752963624390501,0,43,0
1,adaptas,-7,0,4,0,0
4,adaptas,-1,-10,4,0,0
