who,breed,xcor,ycor,score,data-refined,validations
2,adaptas,15,15,4,0,0
16,degovs,16.229452915043503,2.760091421099541,0,0,56144
13,adalts,-6.861716570920443,4.707521714546586,0,43,0
12,adalts,-7.557074765956609,2.025491654751198,0,48,0
10,adaptas,0,8,4,0,0
15,adalts,-1.6481022980866307,-10.731126588876052,0,37,0
9,adaptas,-5,-4,4,0,0
17,degovs,16.006468448738783,-15.521672500634079,0,0,56072
7,adaptas,-6,-1,4,0,0
14,adalts,-8.028705408224972,-10.102701474714769,0,39,0
6,adaptas,-6,-7,4,0,0
11,adalts,2.7107468009349707,-3.6629435592045425,0,42,0
0,ia-cores,0,0,0,0,0
4,adaptas,-1,-10,4,0,0
1,adaptas,-7,0,4,0,0
5,adaptas,-3,0,4,0,0
8,adaptas,15,8,4,0,0
3,adaptas,-16,9,4,0,0
