who,breed,xcor,ycor,score,data-refined,validations
6,adaptas,-6,-7,4,0,0
14,adalts,-12.08541333415157,4.146718310142317,0,39,0
16,degovs,7.931219055585062,15.674104585968003,0,0,58073
13,adalts,4.501230406153595,-10.524324471856719,0,43,0
10,adaptas,0,8,4,0,0
11,adalts,12.688239958237338,-1.5618425525964688,0,42,0
3,adaptas,-16,9,4,0,0
1,adaptas,-7,0,4,0,0
5,adaptas,-3,0,4,0,0
0,ia-cores,0,0,0,0,0
8,adaptas,15,8,4,0,0
7,adaptas,-6,-1,4,0,0
17,degovs,-13.988642256530577,-14.342056597141543,0,0,58108
2,adaptas,15,15,4,0,0
12,adalts,0.10818996758442645,9.254820057573287,0,48,0
15,adalts,6.340927903376272,-12.887627174888765,0,37,0
4,adaptas,-1,-10,4,0,0
9,adaptas,-5,-4,4,0,0
