who,breed,xcor,ycor,score,data-refined,validations
10,adaptas,0,8,4,0,0
13,adalts,-7.012063874374858,-12.976056216378762,0,43,0
14,adalts,9.783240999792461,1.8348581017307626,0,39,0
3,adaptas,-16,9,4,0,0
8,adaptas,15,8,4,0,0
6,adaptas,-6,-7,4,0,0
17,degovs,14.379340526230688,13.112309337539916,0,0,56709
9,adaptas,-5,-4,4,0,0
7,adaptas,-6,-1,4,0,0
12,adalts,5.6611649308090195,9.735116234508224,0,48,0
0,ia-cores,0,0,0,0,0
5,adaptas,-3,0,4,0,0
11,adalts,12.476836518725731,-14.533219580480171,0,42,0
1,adaptas,-7,0,4,0,0
16,degovs,-5.0776447006061325,16.001371498346423,0,0,56673
15,adalts,14.569102153568663,-8.65912509672242,0,37,0
2,adaptas,15,15,4,0,0
4,adaptas,-1,-10,4,0,0
