who,breed,xcor,ycor,score,data-refined,validations
3,adaptas,-16,9,4,0,0
0,ia-cores,0,0,0,0,0
16,degovs,-14.34815453185453,-12.530323990508208,0,0,56634
13,adalts,-12.428043065938239,-9.648520891164836,0,43,0
6,adaptas,-6,-7,4,0,0
2,adaptas,15,15,4,0,0
1,adaptas,-7,0,4,0,0
9,adaptas,-5,-4,4,0,0
12,adalts,11.293124904144026,7.703660452329709,0,48,0
4,adaptas,-1,-10,4,0,0
14,adalts,9.11959357656437,-4.123534774940177,0,39,0
17,degovs,-8.935038317478467,-5.767302393955195,0,0,56670
10,adaptas,0,8,4,0,0
7,adaptas,-6,-1,4,0,0
8,adaptas,15,8,4,0,0
15,adalts,10.026892057291535,2.9867950609156666,0,37,0
11,adalts,5.789996846373684,-14.115653572521223,0,42,0
5,adaptas,-3,0,4,0,0
