who,breed,xcor,ycor,score,data-refined,validations
7,adaptas,-6,-1,4,0,0
4,adaptas,-1,-10,4,0,0
5,adaptas,-3,0,4,0,0
3,adaptas,-16,9,4,0,0
16,degovs,-11.028860988071163,15.3040707435444,0,0,55868
8,adaptas,15,8,4,0,0
13,adalts,1.3905039299386441,-15.715161035475806,0,43,0
6,adaptas,-6,-7,4,0,0
9,adaptas,-5,-4,4,0,0
11,adalts,11.612071576128765,11.543730653701187,0,42,0
2,adaptas,15,15,4,0,0
0,ia-cores,0,0,0,0,0
15,adalts,-9.741920561281423,11.600206138524989,0,37,0
10,adaptas,0,8,4,0,0
1,adaptas,-7,0,4,0,0
17,degovs,-3.5369940353707188,-6.239148755352209,0,0,55813
12,adalts,-15.39335524781213,7.255053648388933,0,48,0
14,adalts,10.392186065314334,9.927732678389871,0,39,0
