who,breed,xcor,ycor,score,data-refined,validations
3,adaptas,-16,9,4,0,0
15,adalts,7.8708467419853445,12.211362521507832,0,37,0
6,adaptas,-6,-7,4,0,0
4,adaptas,-1,-10,4,0,0
11,adalts,-13.876708038609737,5.134996612744128,0,42,0
5,adaptas,-3,0,4,0,0
0,ia-cores,0,0,0,0,0
9,adaptas,-5,-4,4,0,0
8,adaptas,15,8,4,0,0
17,degovs,-14.67752294264185,3.7511445320252035,0,0,56834
14,adalts,3.6971749616384932,1.9599153532071012,0,39,0
13,adalts,0.7338875816290132,10.3895950639915,0,43,0
1,adaptas,-7,0,4,0,0
16,degovs,-10.266115206860892,2.596457964910331,0,0,56798
2,adaptas,15,15,4,0,0
10,adaptas,0,8,4,0,0
12,adalts,10.803805917495025,4.614087322468915,0,48,0
7,adaptas,-6,-1,4,0,0
