who,breed,xcor,ycor,score,data-refined,validations
4,adaptas,-1,-10,4,0,0
2,adaptas,15,15,4,0,0
5,adaptas,-3,0,4,0,0
16,degovs,5.5088265024831236,-2.035480002424234,0,0,57545
6,adaptas,-6,-7,4,0,0
11,adalts,-14.940592259170655,-15.671013517050493,0,42,0
12,adalts,9.780865493347921,-10.95645032819702,0,48,0
17,degovs,10.952864509686679,8.903573296179584,0,0,57559
14,adalts,-13.628059796768692,-12.582992662794549,0,39,0
1,adaptas,-7,0,4,0,0
8,adaptas,15,8,4,0,0
9,adaptas,-5,-4,4,0,0
0,ia-cores,0,0,0,0,0
13,adalts,2.171176436962275,-14.72416271243205,0,43,0
15,adalts,-8.692526153903191,-16.343492310433916,0,37,0
7,adaptas,-6,-1,4,0,0
10,adaptas,0,8,4,0,0
3,adaptas,-16,9,4,0,0
