who,breed,xcor,ycor,score,data-refined,validations
3,adaptas,-16,9,4,0,0
7,adaptas,-6,-1,4,0,0
5,adaptas,-3,0,4,0,0
4,adaptas,-1,-10,4,0,0
0,ia-cores,0,0,0,0,0
6,adaptas,-6,-7,4,0,0
9,adaptas,-5,-4,4,0,0
13,adalts,-3.500006936303553,1.9918608524516435,0,43,0
8,adaptas,15,8,4,0,0
11,adalts,-14.717237627324934,-16.25645621198392,0,42,0
12,adalts,9.000118495406138,2.59487003143696,0,48,0
10,adaptas,0,8,4,0,0
16,degovs,-8.053252844338648,-0.8472788790545865,0,0,56293
1,adaptas,-7,0,4,0,0
14,adalts,-9.600415012436589,-10.210740008051172,0,39,0
2,adaptas,15,15,4,0,0
15,adalts,-10.357608032149605,-11.416613788902723,0,37,0
17,degovs,-11.07882675457002,3.4365802910938594,0,0,56283
