who,breed,xcor,ycor,score,data-refined,validations
15,adalts,11.803928097485347,-16.36918648157393,0,37,0
13,adalts,-4.2679853118763855,0.17145062559079838,0,43,0
4,adaptas,-1,-10,4,0,0
12,adalts,1.0216513270931102,-13.21954402072316,0,48,0
17,degovs,13.34601949706378,7.252111031290032,0,0,54697
3,adaptas,-16,9,4,0,0
8,adaptas,15,8,4,0,0
7,adaptas,-6,-1,4,0,0
16,degovs,-15.87364609427507,12.884901566759915,0,0,54737
11,adalts,-7.764105262944365,13.756480480451446,0,42,0
14,adalts,-2.097422490482439,-7.649423744983818,0,39,0
6,adaptas,-6,-7,4,0,0
0,ia-cores,0,0,0,0,0
10,adaptas,0,8,4,0,0
5,adaptas,-3,0,4,0,0
1,adaptas,-7,0,4,0,0
9,adaptas,-5,-4,4,0,0
2,adaptas,15,15,4,0,0
