who,breed,xcor,ycor,score,data-refined,validations
0,ia-cores,0,0,0,0,0
2,adaptas,15,15,4,0,0
9,adaptas,-5,-4,4,0,0
3,adaptas,-16,9,4,0,0
16,degovs,11.594197999419299,-11.505756323327766,0,0,56113
1,adaptas,-7,0,4,0,0
10,adaptas,0,8,4,0,0
11,adalts,9.572442326464948,14.781285268914653,0,42,0
13,adalts,-12.167395232461377,7.950014125281535,0,43,0
6,adaptas,-6,-7,4,0,0
5,adaptas,-3,0,4,0,0
17,degovs,4.349279026884199,8.038521633618391,0,0,56047
15,adalts,15.965666089884333,-9.373078050122489,0,37,0
7,adaptas,-6,-1,4,0,0
14,adalts,6.220613152747643,4.380624714932065,0,39,0
12,adalts,-5.577436890061543,1.4939485239977686,0,48,0
8,adaptas,15,8,4,0,0
4,adaptas,-1,-10,4,0,0
