who,breed,xcor,ycor,score,data-refined,validations
4,adaptas,-1,-10,4,0,0
17,degovs,13.001579154008144,16.298711595873385,0,0,54066
8,adaptas,15,8,4,0,0
14,adalts,0.25919714263586374,0.6546358645655581,0,39,0
0,ia-cores,0,0,0,0,0
10,adaptas,0,8,4,0,0
1,adaptas,-7,0,4,0,0
15,adalts,-0.6195110535195629,-15.452254576381629,0,37,0
3,adaptas,-16,9,4,0,0
16,degovs,-8.472313225498066,-10.153921743768905,0,0,54079
6,adaptas,-6,-7,4,0,0
9,adaptas,-5,-4,4,0,0
12,adalts,-9.681248041308137,-12.653298702031542,0,48,0
7,adaptas,-6,-1,4,0,0
13,adalts,-9.448509695440407,6.869440664842034,0,43,0
2,adaptas,15,15,4,0,0
11,adalts,-11.045210674884938,8.583914078684716,0,42,0
5,adaptas,-3,0,4,0,0
