who,breed,xcor,ycor,score,data-refined,validations
8,adaptas,15,8,4,0,0
17,degovs,0.4061424957567401,-15.600313560866915,0,0,55925
1,adaptas,-7,0,4,0,0
15,adalts,1.3696073681358758,-1.8771539568188942,0,37,0
6,adaptas,-6,-7,4,0,0
11,adalts,-9.018916000614707,6.749231718178154,0,42,0
13,adalts,-6.092427568827277,-7.317969766215062,0,43,0
16,degovs,-16.217331494325926,1.8991572101083118,0,0,55994
7,adaptas,-6,-1,4,0,0
3,adaptas,-16,9,4,0,0
0,ia-cores,0,0,0,0,0
10,adaptas,0,8,4,0,0
14,adalts,2.1792345223205407,9.347260936376953,0,39,0
9,adaptas,-5,-4,4,0,0
12,adalts,11.76571982574178,-10.114136187213035,0,48,0
2,adaptas,15,15,4,0,0
5,adaptas,-3,0,4,0,0
4,adaptas,-1,-10,4,0,0
